dataset,retriever,diffusion_alpha,hop,global_certificate_rate,pairwise_certificate_rate,ordered_certificate_rate,global_certificate_violations,pairwise_certificate_violations,ordered_certificate_violations,topk_changed_rate,ordering_changed_rate
hotpotqa,BAAI/bge-small-en-v1.5,0.4,1,0.0,0.0,0.0,0,0,0,0.22851365015166836,0.596562184024267
hotpotqa,BAAI/bge-small-en-v1.5,0.4,2,0.0,0.0,0.0,0,0,0,0.12841253791708795,0.38928210313447925
hotpotqa,BAAI/bge-small-en-v1.5,0.4,3,0.0,0.0,0.0,0,0,0,0.10212335692618807,0.29322548028311424
hotpotqa,BAAI/bge-small-en-v1.5,0.4,4,0.0,0.0,0.0,0,0,0,0.05965621840242669,0.17795753286147623
hotpotqa,BAAI/bge-small-en-v1.5,0.4,5,0.0,0.0,0.0,0,0,0,0.046511627906976744,0.14459049544994945
hotpotqa,BAAI/bge-small-en-v1.5,0.6,1,0.0,0.0,0.0,0,0,0,0.34580384226491406,0.7542972699696663
hotpotqa,BAAI/bge-small-en-v1.5,0.6,2,0.0,0.0,0.0,0,0,0,0.1506572295247725,0.41759352881698686
hotpotqa,BAAI/bge-small-en-v1.5,0.6,3,0.0,0.0,0.0,0,0,0,0.08998988877654196,0.24570273003033366
hotpotqa,BAAI/bge-small-en-v1.5,0.6,4,0.0,0.0,0.0,0,0,0,0.04044489383215369,0.11122345803842265
hotpotqa,BAAI/bge-small-en-v1.5,0.6,5,0.0,0.008088978766430738,0.0,0,0,0,0.01820020222446916,0.07280080889787664
hotpotqa,BAAI/bge-small-en-v1.5,0.8,1,0.0,0.0,0.0,0,0,0,0.44287158746208294,0.8442871587462083
hotpotqa,BAAI/bge-small-en-v1.5,0.8,2,0.0,0.0,0.0,0,0,0,0.17492416582406473,0.4671385237613751
hotpotqa,BAAI/bge-small-en-v1.5,0.8,3,0.0,0.0,0.0,0,0,0,0.054600606673407485,0.1557128412537917
hotpotqa,BAAI/bge-small-en-v1.5,0.8,4,0.0,0.020222446916076844,0.0,0,0,0,0.030333670374115267,0.06066734074823053
hotpotqa,BAAI/bge-small-en-v1.5,0.8,5,0.0262891809908999,0.36299292214357937,0.08998988877654196,0,0,0,0.006066734074823054,0.019211324570273004
musique,sentence-transformers/all-MiniLM-L6-v2,0.1,1,0.0,0.0,0.0,0,0,0,0.03842264914054601,0.12234580384226491
musique,sentence-transformers/all-MiniLM-L6-v2,0.1,2,0.0,0.0,0.0,0,0,0,0.041456016177957536,0.12537917087967643
