dataset,retriever,n_candidates,hop,lambda2,ndcg_at_5,f1_at_5,recall_at_5,param_change_norm,param_disagreement,topk_margin,score_bound,pairwise_gap,rank_gap,empirical_score_delta,empirical_to_bound_ratio,bound_holds_rate,global_certificate_rate,pairwise_certificate_rate,ordered_certificate_rate,topk_changed_rate,ordering_changed_rate,global_certificate_violations,pairwise_certificate_violations,ordered_certificate_violations
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,50,1,0.26873752371482623,0.6964949339769746,0.43,0.7525,5.303889223474904,57.82371145174163,0.4521422266960144,37.31044378417219,-60.869772942653746,-55.493465557768694,1.2000273334980012,0.03238667722071527,1.0,0.0,0.0,0.0,0.295,0.595,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,50,2,0.12256294029052442,0.6911354762962938,0.43,0.7525,1.8827150017032899,14.281248153866638,0.38465397655963895,11.021689013891287,-15.777984549742438,-15.052620773506433,0.30308603070676327,0.027950700765511777,1.0,0.0,0.0,0.0,0.12,0.39,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,50,3,0.0,0.6961717933335551,0.4328571428571428,0.7575,0.8724802687745852,6.5308115694717435,0.38156315326690676,5.298924794825421,-6.515786123224604,-6.405288890621692,0.13205763552337885,0.02535988701255225,1.0,0.0,0.0,0.0,0.085,0.195,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,50,4,0.0,0.6943718813463988,0.4328571428571428,0.7575,0.47759488182169896,4.448264738140148,0.38207137703895566,3.4051661148354424,-3.4281993237425197,-3.40340239224882,0.07947883119806648,0.023608793043608238,1.0,0.0,0.0,0.0,0.04,0.12,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,50,5,0.0,0.6924376173102261,0.4328571428571428,0.7575,0.2781300022068477,3.7592048437566086,0.3853070974349976,2.4332463149648227,-1.83717334865981,-1.9306099290071064,0.05610347976908088,0.02343050964804278,1.0,0.0,0.02,0.0,0.005,0.06,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,10,1,0.47800837686328956,0.7219944602224342,0.44857142857142857,0.7975,5.310685522989507,53.08282101262521,0.6523732531815767,36.54409874433486,-64.03508529048662,-63.632599068093185,1.2059808978438378,0.0332951706774787,1.0,0.0,0.0,0.0,0.21,0.605,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,10,2,0.37524982071290647,0.7248939339754688,0.45023809523809527,0.8025,1.6590301425260214,9.445890185129517,0.5652133120596409,10.12970884531494,-15.805257184488939,-15.604821516544886,0.2423230766505003,0.024156789845422293,1.0,0.0,0.0,0.0,0.1,0.3,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,10,3,0.16104867073377285,0.7232027930522622,0.4514285714285714,0.8025,0.7575559840711574,2.9564720972259613,0.5460057081282139,4.813834571520991,-6.531361554802587,-6.703654679180026,0.10100563056766987,0.021271474523475505,1.0,0.0,0.0,0.0,0.06,0.195,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,10,4,0.10249458504329116,0.7210433432936199,0.44857142857142857,0.7975,0.3505715279139882,1.440456152088569,0.5426070965826512,2.3961397442123844,-2.5672093029646526,-2.9078392228734753,0.04787394434213638,0.020281441217996868,1.0,0.0,0.01,0.0,0.03,0.075,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,10,5,0.12414007867859865,0.7205078573987785,0.44857142857142857,0.7975,0.20484295976921355,1.0164439934006162,0.543603578209877,2.315382533317281,-1.4253046281283264,-1.7400409856237742,0.03540745571255684,0.015451540692107125,1.0,0.0,0.075,0.0,0.01,0.035,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,20,1,0.3993931866016442,0.5877141830327371,0.3595238095238096,0.6375,5.307765334689291,56.035399675524936,0.45261905550956727,38.450078782925054,-68.41539956373123,-65.64525958052512,1.3116975331306457,0.03428012211209724,1.0,0.0,0.0,0.0,0.325,0.705,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,20,2,0.20627736909508443,0.5926398067048243,0.3623809523809524,0.6425,1.8669231579966095,11.646916937907967,0.41110084116458895,11.16169742176327,-18.334170653700976,-17.6798333638976,0.3046705628186464,0.02740376128141894,1.0,0.0,0.0,0.0,0.16,0.39,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,20,3,0.041326702561206574,0.595529332336862,0.3666666666666667,0.65,0.808944118436799,4.236068173026308,0.40821452051401136,5.289239125384917,-7.24961653270487,-7.096702944087821,0.12467275634407997,0.023769802989969353,1.0,0.0,0.0,0.0,0.09,0.215,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,20,4,0.0,0.5984623763444632,0.3666666666666667,0.65,0.40720362799353316,2.404275625410676,0.4102348808944225,2.5872015590904915,-3.165829563845009,-3.2950904111973944,0.061007376834750174,0.02386103248489861,1.0,0.0,0.0,0.0,0.03,0.085,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,20,5,0.0,0.6005127928307217,0.3680952380952381,0.6525,0.22080317557042176,1.826058118200973,0.41062272623181345,1.6899029529920526,-1.5783918492926534,-1.7179435961263223,0.037819250300526616,0.022643190516765478,1.0,0.0,0.03,0.0,0.025,0.075,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,50,1,0.2687375237148253,0.5801535206433599,0.3507142857142857,0.62,5.303889223474904,57.82371145174163,0.4135432291030884,42.00065593755262,-71.68806580290827,-66.33878050563891,1.3180510118603705,0.031443018822598645,1.0,0.0,0.0,0.0,0.34,0.7,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,50,2,0.1225629402905246,0.5853969059647602,0.35380952380952385,0.6275,1.8827150017032899,14.281248153866638,0.3906193506717682,12.466436636442168,-19.082915670083477,-18.2267871469053,0.35041075229644775,0.028276882581542147,1.0,0.0,0.0,0.0,0.135,0.415,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,50,3,0.0,0.5837478855327608,0.35523809523809535,0.63,0.8724802687745852,6.5308115694717435,0.37949984401464465,6.076223901357718,-8.03642393274533,-7.800205076899918,0.15122999876737594,0.025084938001846514,1.0,0.0,0.0,0.0,0.085,0.25,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,50,4,0.0,0.5821605009146552,0.3523809523809524,0.625,0.47759488182169896,4.448264738140148,0.3705914947390556,3.9586308245467596,-4.389214659689117,-4.203280104288581,0.09320902556180954,0.023636840926721837,1.0,0.0,0.0,0.0,0.04,0.145,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,50,5,0.0,0.5819716322294468,0.3523809523809524,0.625,0.2781300022068477,3.7592048437566086,0.3678270471096039,2.863368333467215,-2.7539005612302336,-2.51742382735735,0.06328615102916955,0.022262414029430858,1.0,0.0,0.005,0.0,0.045,0.085,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,10,1,0.4780083768632898,0.6011046232172848,0.4319047619047619,0.685,5.310685522989507,53.08282101262521,0.8384769466519356,44.6755684686076,-77.11104769283197,-77.20770221689413,1.473690505027771,0.03358155505110534,1.0,0.0,0.0,0.0,0.2,0.61,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,10,2,0.3752498207129065,0.5984024377348791,0.4333333333333333,0.6875,1.6590301425260214,9.445890185129517,0.7399102371931076,12.011791291466182,-18.277761444837225,-18.797916819069577,0.29803076073527335,0.025324178311170592,1.0,0.0,0.0,0.0,0.05,0.35,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,10,3,0.16104867073377313,0.5978916853597486,0.4336507936507936,0.68875,0.7575559840711574,2.9564720972259613,0.7219115966558456,5.6772324386183435,-7.494134018983955,-8.047023580248872,0.11467555761337281,0.020419588321593015,1.0,0.0,0.0,0.0,0.025,0.105,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,10,4,0.10249458504329041,0.5973872791347132,0.4322222222222221,0.68625,0.3505715279139882,1.440456152088569,0.7167753946781158,2.8316305380086,-2.861934782055427,-3.5300007143216816,0.05261381536722183,0.018806366729298335,1.0,0.0,0.01,0.0,0.015,0.08,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,10,5,0.1241400786785983,0.5985617855120404,0.4336507936507937,0.68875,0.20484295976921355,1.0164439934006162,0.7136728227138519,2.615212613493912,-1.6484090968702387,-2.126240318897241,0.03992205284535885,0.015652804353963008,1.0,0.0,0.06,0.0,0.015,0.045,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,20,1,0.39939318660164413,0.568675612007029,0.4033333333333334,0.6475,5.307765334689291,56.035399675524936,0.6457376885414123,50.458088450726535,-86.57624774469824,-79.64634916194095,1.4860985779762268,0.029515953588137495,1.0,0.0,0.0,0.0,0.285,0.68,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,20,2,0.20627736909508407,0.5690737862194746,0.4041269841269841,0.6475,1.8669231579966095,11.646916937907967,0.594974576830864,14.607624037741887,-22.058881926413456,-21.217961340662978,0.3462481904029846,0.024010576472786763,1.0,0.0,0.0,0.0,0.1,0.32,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,20,3,0.041326702561206186,0.5664860721030405,0.40301587301587305,0.64625,0.808944118436799,4.236068173026308,0.5999903523921967,6.71296664975612,-8.475408086354753,-8.451449769587503,0.1377479872852564,0.02105432652201208,1.0,0.0,0.0,0.0,0.035,0.16,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,20,4,0.0,0.5696746515785521,0.40666666666666673,0.65125,0.40720362799353316,2.404275625410676,0.5951888477802276,3.3497815094748233,-3.555892070329751,-3.973253446149861,0.07209242552518845,0.021851392597697722,1.0,0.0,0.0,0.0,0.02,0.1,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,20,5,0.0,0.568805166336519,0.40666666666666673,0.65125,0.22080317557042176,1.826058118200973,0.5969049102067947,2.124061618097562,-1.7470949505645406,-2.226780524322865,0.04338469695299864,0.020773546781501225,1.0,0.0,0.02,0.0,0.0,0.045,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,50,1,0.26873752371482573,0.4914390055627995,0.34222222222222226,0.55375,5.303889223474904,57.82371145174163,0.4914665901660919,54.857150539043104,-94.24934150126566,-83.19288023753498,1.5740856102108955,0.028754082216144936,1.0,0.0,0.0,0.0,0.355,0.73,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,50,2,0.12256294029052463,0.49041669857563924,0.3415873015873016,0.55125,1.8827150017032899,14.281248153866638,0.45627344012260435,16.598157023004557,-25.169603480912755,-22.527925304711026,0.41774881321936846,0.02534303046076208,1.0,0.0,0.0,0.0,0.16,0.425,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,50,3,0.0,0.4910091890199666,0.34158730158730166,0.55125,0.8724802687745852,6.5308115694717435,0.45255288124084475,7.916112272328439,-10.320915883317511,-9.709717377988124,0.18005776420235634,0.023064281443517763,1.0,0.0,0.0,0.0,0.07,0.275,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,50,4,0.0,0.49347960292470533,0.3401587301587301,0.54875,0.47759488182169896,4.448264738140148,0.44465500831604005,5.152008509894979,-5.595848919982938,-5.435327026217099,0.11108429133892059,0.02168402045922928,1.0,0.0,0.0,0.0,0.06,0.22,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,50,5,0.0,0.4927495270513097,0.3401587301587301,0.54875,0.2781300022068477,3.7592048437566086,0.43693495869636534,3.6249522783861203,-3.24854472324585,-3.1451960199522584,0.07852853186428548,0.02202811937252463,1.0,0.0,0.005,0.0,0.025,0.095,0,0,0
