dataset,retriever,diffusion_alpha,hop,lambda2,ndcg_at_5,f1_at_5,recall_at_5,param_change_norm,param_disagreement,topk_margin,score_bound,pairwise_gap,rank_gap,empirical_score_delta,empirical_to_bound_ratio,bound_holds_rate,global_certificate_rate,pairwise_certificate_rate,ordered_certificate_rate,topk_changed_rate,ordering_changed_rate,global_certificate_violations,pairwise_certificate_violations,ordered_certificate_violations
musique,BAAI/bge-small-en-v1.5,0.1,2,0.4454626366689418,0.7661228800523897,0.46362366989262843,0.8260869565217391,0.7714294596840213,42.06466862242185,1.6669872137364772,17.244809326904964,-31.001880966478012,-32.21549249710425,1.16652279652286,0.06762832246957076,1.0,0.0,0.0,0.0,0.044489383215369056,0.17492416582406473,0,0,0
musique,BAAI/bge-small-en-v1.5,0.1,3,0.4449354429881253,0.766517732589438,0.46275699359622513,0.8245702730030333,0.6726572245506683,33.554816521190716,1.632232029589893,14.60876495054977,-25.857371241576665,-27.020614021600814,0.9173359480376673,0.0627768758712984,1.0,0.0,0.0,0.0,0.056622851365015166,0.1678463094034378,0,0,0
musique,BAAI/bge-small-en-v1.5,0.1,4,0.4445743319365636,0.7662847553125218,0.46189031729982183,0.8230535894843276,0.5882866050309427,26.95619210606636,1.604960571767346,12.502904403064017,-21.70830768460703,-22.8234067171009,0.727785798970561,0.05819532341984585,1.0,0.0,0.0,0.0,0.03741152679474216,0.13346814964610718,0,0,0
musique,BAAI/bge-small-en-v1.5,0.1,5,0.44433862601592694,0.7670965569825574,0.46217920939862295,0.8235591506572295,0.5160910099263232,21.804346958136772,1.5815758488175842,10.792976101296981,-18.334902572746497,-19.424327718098485,0.5821272519288097,0.0539287708572388,1.0,0.0,0.0,0.0,0.05156723963599596,0.1557128412537917,0,0,0
musique,BAAI/bge-small-en-v1.5,0.2,1,0.4780083768632896,0.7668735731630626,0.4642014540902306,0.8270980788675429,1.770228507663169,53.08282101262521,1.7165520169496296,42.077953523630825,-78.78994472944701,-80.27284013323634,2.7973373690798984,0.0664573803781328,1.0,0.0,0.0,0.0,0.11526794742163801,0.37209302325581395,0,0,0
musique,BAAI/bge-small-en-v1.5,0.2,2,0.44545505205402175,0.7666057633242722,0.46217920939862295,0.8235591506572295,1.3192744345041354,32.54464846646679,1.6265687566435132,29.413557651333143,-53.692566795562136,-54.93407617975028,1.6795791533405546,0.057093253609589084,1.0,0.0,0.0,0.0,0.0980788675429727,0.29120323559150657,0,0,0
musique,BAAI/bge-small-en-v1.5,0.2,3,0.4445626484971477,0.768455072166419,0.46189031729982183,0.8230535894843276,0.9928851598238264,20.63174627892099,1.575911461161892,21.2365960718061,-37.64669245866122,-38.732224574155204,1.0417587754699893,0.049052483821121755,1.0,0.0,0.0,0.0,0.08088978766430738,0.25480283114256824,0,0,0
musique,BAAI/bge-small-en-v1.5,0.2,4,0.4442167628190866,0.7687771841387178,0.46217920939862295,0.8235591506572295,0.7598042220040806,13.52176010387736,1.5410058645435483,16.00613800930623,-27.259830788757853,-28.262032936464614,0.6713065946789193,0.04194948358263391,1.0,0.0,0.0,0.0,0.06572295247724974,0.20222446916076844,0,0,0
musique,BAAI/bge-small-en-v1.5,0.2,5,0.44415628796255224,0.7692604139831984,0.46275699359622513,0.8245702730030333,0.5911783364848587,9.123333632235985,1.517030056373897,12.408238781147551,-20.30892263219023,-21.272789227912074,0.44789327577103016,0.03611022713983613,1.0,0.0,0.0,0.0,0.06268958543983821,0.1911021233569262,0,0,0
musique,BAAI/bge-small-en-v1.5,0.4,1,0.47800837686328945,0.7693078660012842,0.46362366989262843,0.8260869565217391,3.5404570153263393,53.08282101262521,1.7165520169496296,88.66483257961146,-169.04487348054272,-170.5104069778608,4.876920983571977,0.05498936599725437,1.0,0.0,0.0,0.0,0.2416582406471183,0.5904954499494439,0,0,0
